Name;Owner;PassengerCapacity;CargoCapacity;MaxSpeed
Viking Sky;Viking Ocean Cruises;0
Viking Star;Viking Ocean Cruises;602
Vision of the Seas;Royal Caribbean International;765
Vista;Oceania Cruises;0
Vistamar;Plantours Kreuzfahrten;110
Volendam;Holland-America Line;615
Voyager of the Seas;Royal Caribbean International;1181
Westerdam;Holland-America Line;817
Wilhelm Gustloff;Hamburg Süd;417
Wonder of the Seas;Royal Caribbean International;9382
World Discoverer;Adventurer Cruises;80
World Dream;Dream Cruises;0
World Explorer;Atlas Ocean Voyages;0
World Voyager;Nicko Cruises;0
Xpedition;Celebrity Cruises;68
Yamal;Murmansk Shipping Comp.;150
Yekaterina II;GALS-T;134
Zaandam;Holland-America Line;615
Zenith;Pullmantur Cruises;670
Zhao Shang Yi Dun;Viking Ocean Cruises;602
Zuiderdam;Holland-America Line;817
